Part Number,Type,LCSC Part #,Qty,Source,Ext. Price
CL05A105KA5NQNC,Basic,C52923,4,JLCPCB,0.0612
MCP1700T-3302E/TT,Extended,C39051,5,JLCPCB,2.154
0402CG330J500NT,Basic,C1562,4,JLCPCB,0.0232
0402WGF1001TCE,Basic,C11702,4,JLCPCB,0.0164
0402WGF5101TCE,Basic,C25905,4,JLCPCB,0.0048
X322512MSB4SI,Basic,C9002,2,JLCPCB,0.1988
CL10A106KP8NNNC,Basic,C19702,4,JLCPCB,0.2208
0402WGJ0270TCE,Extended,C25156,20,JLCPCB,0.016
RP2040,Extended,C2040,2,JLCPCB,1.9584
CL05B104KO5NNNC,Basic,C1525,22,JLCPCB,0.1364
W25Q16JVUXIQ,Extended,C2843335,2,JLCPCB,3.1444
0402WGF1002TCE,Basic,C25744,2,JLCPCB,0.007
TYPE-C-31-M-12,Extended,C165948,2,JLCPCB,0.3662
TS-1088-AR02016,Basic,C72047,2,JLCPCB,0.1098
